timestamp,load_MW,CDP_bar,CDT_C,EGT_avg_C,EGT_spread_C,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,TC20,TC21,TC22,TC23,TC24,TC25,TC26,TC27,fuel_flow_kg_s,IGV_deg,vib_DE_mm_s,vib_NDE_mm_s,lube_oil_C,comb_dyn_psi,trip_active
2026-01-05 00:00:00,46.808,11.029,344.33,538.655,5.666,537.696,538.399,540.482,539.074,540.31,539.067,538.527,541.394,539.013,539.121,540.891,538.404,540.072,540.226,538.483,538.578,538.24,538.221,537.851,535.728,538.226,538.586,537.848,537.448,537.298,537.256,537.248,2.8088,61.638,3.069,2.945,57.974,0.256,0
2026-01-05 00:10:00,46.918,11.076,343.959,539.004,5.139,538.757,539.496,539.201,540.334,538.525,540.979,539.991,541.002,539.306,540.872,540.378,539.502,538.951,539.039,538.026,539.071,540.093,537.925,537.055,538.998,535.863,538.151,538.274,537.775,538.89,537.664,538.991,2.8175,62.014,3.062,3.096,57.779,0.338,0
2026-01-05 00:20:00,46.699,11.06,343.745,538.746,7.035,537.657,539.909,540.101,541.323,543.136,541.36,539.69,539.746,538.143,540.137,539.705,538.913,537.414,539.303,537.875,539.36,537.469,538.354,537.486,536.101,536.967,536.325,538.391,538.493,536.756,537.575,538.464,2.8099,61.607,3.165,2.942,57.818,0.341,0
2026-01-05 00:30:00,46.832,11.06,344.014,538.94,5.261,540.427,539.925,538.163,539.627,541.15,541.383,540.758,539.66,540.186,538.337,539.282,539.9,539.319,539.364,538.435,537.387,539.544,538.241,538.601,536.122,537.332,537.479,536.674,539.529,537.777,537.962,538.824,2.8015,61.535,3.129,3.0,57.876,0.398,0
2026-01-05 00:40:00,46.865,11.041,344.578,538.486,5.907,538.204,538.85,539.415,540.948,539.489,539.835,541.196,541.009,539.349,538.908,540.544,538.873,539.527,539.231,538.506,536.191,538.536,537.59,535.289,537.889,536.977,535.486,537.709,536.648,537.756,537.123,538.056,2.806,61.686,2.935,2.974,57.973,0.379,0
2026-01-05 00:50:00,47.079,11.077,344.383,538.914,3.949,538.891,538.851,539.357,538.953,538.239,540.994,540.263,540.111,540.659,540.486,540.362,539.222,540.01,537.463,537.985,539.733,537.548,540.185,538.067,537.464,538.339,538.733,537.045,537.283,537.722,538.171,538.54,2.828,62.101,2.993,2.987,57.902,0.427,0
2026-01-05 01:00:00,47.064,11.073,344.337,538.797,8.549,538.936,538.53,537.529,540.642,537.087,544.27,538.775,539.727,541.458,540.372,539.096,539.302,539.557,538.157,539.847,537.962,538.904,538.726,536.491,536.474,536.943,537.673,535.721,538.881,538.441,538.823,539.199,2.8176,61.611,3.047,3.06,58.006,0.366,0
2026-01-05 01:10:00,46.913,11.085,344.11,539.342,5.887,538.172,542.249,539.176,540.816,540.943,539.622,541.146,540.723,541.773,540.765,541.049,540.321,539.692,539.674,539.171,538.396,538.246,539.423,537.557,538.321,536.362,538.09,537.83,538.247,538.311,537.187,538.965,2.8155,61.71,3.144,2.998,57.768,0.309,0
2026-01-05 01:20:00,46.901,11.04,343.801,538.506,6.835,538.54,541.541,539.132,538.846,539.78,540.354,540.979,539.948,538.48,538.94,541.714,539.866,537.306,539.37,538.046,538.09,536.313,537.604,534.879,536.262,536.072,537.29,537.96,540.017,536.686,538.355,537.286,2.818,61.481,2.912,2.933,58.218,0.319,0
2026-01-05 01:30:00,46.856,11.079,344.161,538.405,6.432,537.469,539.802,540.049,538.59,538.933,539.696,540.159,539.459,542.561,539.999,540.422,538.7,538.499,538.231,539.207,536.215,536.962,536.171,536.794,537.207,536.461,537.358,536.129,536.897,538.17,538.672,538.123,2.814,61.815,3.053,2.885,57.967,0.413,0
2026-01-05 01:40:00,46.869,11.031,343.97,539.809,7.822,540.79,542.155,541.082,540.142,541.886,541.344,540.603,540.91,543.598,540.829,540.633,539.494,541.053,540.146,538.258,539.893,537.854,539.034,538.086,535.776,538.135,537.701,537.667,538.353,539.68,539.247,540.485,2.8268,61.886,3.09,2.816,58.195,0.377,0
2026-01-05 01:50:00,46.759,11.029,343.614,538.868,4.499,537.974,539.097,539.584,539.673,540.103,540.413,540.016,540.85,539.247,540.077,540.16,539.818,538.23,540.813,539.401,537.333,539.563,538.35,537.205,536.87,537.623,537.16,537.781,536.351,537.389,539.502,538.847,2.8087,61.903,3.011,3.016,57.846,0.356,0
2026-01-05 02:00:00,46.631,11.081,343.703,537.995,5.629,537.056,537.11,538.883,539.111,538.192,537.454,540.589,539.468,538.457,540.106,541.58,537.332,537.988,538.591,538.068,539.001,535.951,537.707,539.779,536.646,536.871,536.653,535.989,537.518,536.134,537.524,536.098,2.7877,61.752,2.89,2.869,57.846,0.379,0
2026-01-05 02:10:00,47.058,11.093,344.266,539.843,5.997,539.766,538.454,539.391,539.623,541.418,541.392,541.876,542.758,541.611,541.923,542.217,541.779,540.747,540.453,539.67,538.442,539.996,539.102,537.573,537.546,538.357,538.906,539.0,536.761,539.856,538.342,538.813,2.813,61.424,2.887,3.075,58.022,0.341,0
2026-01-05 02:20:00,46.849,11.038,343.808,538.454,6.173,538.911,537.975,539.613,540.588,540.683,541.801,539.912,540.093,538.737,541.172,539.506,538.667,540.086,539.359,537.94,538.053,536.016,537.631,537.833,536.592,536.055,537.893,536.363,536.796,535.628,537.591,536.762,2.799,61.606,3.207,2.899,57.921,0.343,0
2026-01-05 02:30:00,46.49,11.103,343.79,538.301,4.753,539.648,536.998,538.42,540.217,537.694,539.194,538.841,540.324,538.974,538.502,540.61,539.129,539.515,539.663,538.635,535.857,538.695,536.342,537.146,538.892,536.054,536.138,538.141,538.816,536.343,536.815,538.527,2.795,61.626,2.967,2.946,57.724,0.396,0
2026-01-05 02:40:00,46.732,11.051,343.718,539.024,6.051,538.52,539.013,537.508,539.85,543.054,540.601,540.765,540.576,541.098,540.346,539.491,540.485,539.16,537.267,538.373,537.245,539.485,537.296,538.95,538.11,537.003,538.483,537.353,537.391,538.673,539.829,537.725,2.8039,61.719,2.943,2.963,58.043,0.33,0
2026-01-05 02:50:00,46.896,11.045,343.884,538.698,4.013,538.997,539.969,537.828,538.927,539.235,539.544,540.454,539.932,540.384,539.064,539.831,538.475,538.932,538.69,538.872,536.441,538.878,538.764,537.976,536.486,537.083,537.961,539.217,538.98,538.145,537.945,537.844,2.82,61.771,3.214,2.995,57.94,0.364,0
2026-01-05 03:00:00,46.734,11.046,344.537,537.765,4.433,536.439,539.184,537.418,537.841,538.719,538.298,537.646,539.06,539.83,539.588,540.012,539.532,535.85,537.701,535.579,537.666,536.952,537.09,538.362,537.352,537.429,536.397,536.96,536.059,538.961,537.24,536.488,2.7999,61.846,2.883,2.919,58.078,0.305,0
2026-01-05 03:10:00,46.684,11.037,343.436,539.028,4.717,540.281,538.715,539.586,539.787,541.149,540.157,539.978,539.541,540.86,540.344,539.387,539.913,539.801,541.349,538.721,538.574,539.417,537.181,536.632,537.868,537.31,537.572,538.024,537.054,538.82,538.934,536.807,2.8041,61.648,2.847,2.952,58.001,0.372,0
2026-01-05 03:20:00,46.616,11.007,343.85,538.692,3.648,538.897,537.802,540.42,539.604,540.235,540.203,540.296,539.621,540.158,540.547,538.849,538.013,536.899,538.335,537.423,538.347,538.38,537.627,538.731,537.296,538.098,537.368,537.595,537.468,537.985,539.122,539.371,2.7906,61.487,3.025,2.933,57.933,0.338,0
2026-01-05 03:30:00,46.996,11.065,344.114,539.595,6.488,539.019,539.84,539.99,539.088,540.809,543.11,542.813,541.71,541.203,540.133,539.929,540.384,541.841,539.924,540.24,537.619,539.03,537.8,539.59,536.622,538.311,536.858,536.888,538.493,538.952,539.458,539.406,2.8221,61.852,3.079,2.991,57.832,0.46,0
2026-01-05 03:40:00,46.613,11.052,343.967,538.557,6.183,539.285,537.301,538.509,539.055,538.748,540.124,542.076,538.117,538.809,540.267,540.031,539.768,538.909,537.937,539.415,537.08,539.59,538.279,536.957,537.917,536.716,538.196,538.059,535.893,537.31,539.818,536.863,2.7978,61.417,2.956,2.947,57.758,0.333,0
2026-01-05 03:50:00,47.052,11.071,344.371,538.316,5.482,536.731,538.61,538.477,539.458,539.205,540.5,540.15,538.745,540.606,538.854,538.826,538.85,539.834,537.661,538.28,538.425,538.244,536.903,537.999,535.71,539.481,535.124,536.779,537.832,538.041,536.998,538.211,2.8215,61.676,3.176,2.96,57.909,0.426,0
2026-01-05 04:00:00,46.645,11.074,344.165,538.387,6.738,537.18,540.085,539.46,537.858,541.971,538.739,540.615,541.319,540.098,539.866,537.628,540.041,539.261,536.535,539.197,536.721,536.622,537.223,535.233,537.834,537.181,537.209,537.937,535.96,538.697,536.802,539.17,2.7874,61.6,3.037,2.87,58.003,0.401,0
2026-01-05 04:10:00,46.792,11.095,343.792,538.93,5.981,538.481,540.167,538.551,539.361,539.403,539.339,540.375,540.742,540.286,542.083,539.03,540.677,539.128,539.535,539.046,538.105,539.467,536.102,537.53,537.735,538.48,539.194,537.151,537.676,537.946,537.717,537.807,2.8058,61.736,3.054,3.012,58.026,0.374,0
2026-01-05 04:20:00,47.031,11.053,344.402,538.836,5.186,540.004,537.873,538.232,538.342,538.551,541.213,539.811,540.986,540.942,539.794,541.684,539.587,537.788,540.842,537.273,536.808,537.793,537.437,538.293,538.421,538.957,539.45,537.522,537.916,536.498,537.556,539.008,2.8294,61.4,3.021,2.792,57.965,0.465,0
2026-01-05 04:30:00,47.059,11.062,343.647,538.471,5.74,536.718,537.854,539.125,539.429,538.852,540.559,541.977,539.507,538.378,539.012,538.92,539.401,538.415,538.75,539.886,538.11,537.41,536.237,536.741,538.64,536.259,537.692,536.972,538.518,537.576,538.726,539.043,2.8191,61.592,3.175,2.932,57.809,0.333,0
2026-01-05 04:40:00,47.041,11.049,344.124,539.232,7.13,538.596,539.848,538.549,539.438,539.506,542.761,541.923,539.389,539.934,542.752,541.492,539.604,539.223,540.324,537.141,539.565,539.225,539.778,539.546,536.961,535.631,537.763,537.723,536.744,539.964,535.871,540.01,2.8174,61.882,2.948,2.96,58.011,0.379,0
2026-01-05 04:50:00,47.177,11.046,344.39,538.486,6.483,538.912,538.273,540.879,538.464,539.12,540.747,539.509,541.726,540.063,539.58,540.471,539.372,538.643,538.91,538.132,538.142,537.886,536.83,536.074,535.243,537.054,536.211,536.434,537.264,537.398,540.705,537.089,2.8286,61.63,2.987,2.982,57.911,0.305,0
2026-01-05 05:00:00,47.213,11.091,344.312,538.758,5.664,539.455,537.986,539.898,540.569,540.586,541.334,541.005,540.51,538.587,538.008,538.791,539.201,538.2,538.562,539.916,538.673,537.404,535.67,538.005,536.115,537.201,538.594,537.89,539.356,538.227,538.406,538.313,2.8104,62.131,2.982,3.024,57.889,0.342,0
2026-01-05 05:10:00,47.184,11.063,344.083,538.994,6.887,540.96,538.585,540.4,537.34,542.796,541.224,539.488,541.871,542.37,539.297,541.719,540.28,539.471,538.521,538.809,538.111,536.249,535.909,537.514,537.925,539.306,536.183,537.303,537.03,536.71,538.023,539.446,2.8123,61.667,3.118,3.118,57.978,0.327,0
2026-01-05 05:20:00,47.32,11.138,344.329,539.215,5.444,539.138,538.359,538.518,541.407,539.845,540.429,541.522,541.463,541.974,540.997,541.099,538.393,540.506,541.102,539.389,537.989,537.713,537.05,537.594,537.463,537.12,538.202,538.191,536.53,539.615,537.666,539.531,2.8065,61.845,2.982,2.988,57.971,0.388,0
2026-01-05 05:30:00,47.387,11.072,344.574,539.497,5.434,538.385,539.178,539.66,541.075,540.846,541.338,541.052,540.624,541.142,541.53,541.451,540.347,538.82,538.545,540.336,539.571,539.996,537.468,539.876,539.628,537.523,536.836,536.096,538.796,537.791,539.773,538.746,2.8308,62.023,3.008,3.011,57.89,0.268,0
