timestamp,load_MW,CDP_bar,CDT_C,EGT_avg_C,EGT_spread_C,EGT_Z1_C,EGT_Z2_C,EGT_Z3_C,EGT_Z4_C,fuel_flow_kg_s,IGV_deg,vib_DE_mm_s,vib_NDE_mm_s,lube_oil_C,comb_dyn_psi,trip_active
2026-05-25 00:00:00,46.818,11.063,343.84,538.307,2.194,537.529,537.605,538.371,539.723,2.7985,61.924,3.178,2.987,57.908,0.373,0
2026-05-25 00:01:00,46.965,11.048,344.402,539.28,1.032,539.488,539.072,539.796,538.764,2.8187,61.569,2.939,2.884,57.767,0.337,0
2026-05-25 00:02:00,47.335,11.091,344.672,538.974,0.832,538.93,538.949,538.593,539.425,2.8212,61.919,3.202,2.967,58.03,0.351,0
2026-05-25 00:03:00,47.174,11.082,344.66,539.334,1.611,538.558,539.44,539.168,540.17,2.8174,61.587,3.089,3.013,58.054,0.415,0
2026-05-25 00:04:00,47.133,11.083,344.155,538.774,3.044,537.138,538.544,540.182,539.233,2.8183,62.015,3.02,2.884,57.901,0.354,0
2026-05-25 00:05:00,47.188,11.12,344.513,539.777,1.347,539.146,540.493,539.927,539.543,2.8047,61.85,3.033,2.887,57.813,0.341,0
2026-05-25 00:06:00,46.802,11.043,343.693,538.391,1.929,538.171,539.175,538.973,537.246,2.7911,61.582,3.014,2.983,57.934,0.307,0
2026-05-25 00:07:00,47.171,11.04,344.12,540.241,3.343,538.844,540.439,539.492,542.187,2.8316,61.67,3.04,2.998,57.882,0.369,0
2026-05-25 00:08:00,46.763,11.044,343.909,539.677,1.094,539.54,539.632,540.316,539.222,2.8211,61.472,3.037,2.84,57.803,0.287,0
2026-05-25 00:09:00,47.18,11.013,344.083,537.958,2.642,536.728,539.369,538.298,537.435,2.822,62.045,3.067,3.088,57.976,0.37,0
2026-05-25 00:10:00,46.857,11.075,344.329,538.355,1.798,538.381,538.649,537.295,539.093,2.8127,61.695,3.095,3.101,58.146,0.325,0
2026-05-25 00:11:00,46.878,11.065,344.251,539.323,3.126,538.329,539.727,538.055,541.181,2.7987,61.803,3.053,2.875,58.063,0.322,0
2026-05-25 00:12:00,46.939,11.057,343.922,539.295,2.83,537.748,538.843,540.011,540.578,2.8075,61.75,3.087,3.036,58.245,0.396,0
