timestamp,load_MW,CDP_bar,CDT_C,EGT_avg_C,EGT_spread_C,EGT_Z1_C,EGT_Z2_C,EGT_Z3_C,EGT_Z4_C,fuel_flow_kg_s,IGV_deg,vib_DE_mm_s,vib_NDE_mm_s,lube_oil_C,comb_dyn_psi,trip_active
2025-11-15 00:00:00,46.98,11.038,344.124,538.264,2.677,539.069,536.392,538.549,539.045,2.8058,61.784,3.086,2.91,57.866,0.323,0
2025-11-15 00:10:00,46.745,11.065,344.161,538.059,2.141,539.082,539.002,536.941,537.211,2.8028,61.529,3.056,2.862,57.916,0.344,0
2025-11-15 00:20:00,46.931,11.059,343.73,538.902,3.563,537.751,541.077,537.514,539.268,2.8148,61.686,3.19,2.917,57.828,0.342,0
2025-11-15 00:30:00,46.849,11.09,344.052,539.168,2.475,539.729,537.961,538.546,540.436,2.8006,61.592,3.129,3.031,58.0,0.395,0
2025-11-15 00:40:00,47.024,11.11,344.391,539.989,0.838,539.656,540.494,539.853,539.953,2.8289,61.708,3.012,2.919,57.816,0.458,0
2025-11-15 00:50:00,46.964,11.057,344.205,539.2,1.811,540.315,538.757,538.504,539.225,2.7947,61.589,3.0,2.884,57.984,0.327,0
2025-11-15 01:00:00,46.948,11.044,344.366,539.71,2.744,540.008,538.419,541.163,539.248,2.8007,61.564,2.93,2.91,57.999,0.325,0
2025-11-15 01:10:00,46.878,11.085,344.419,537.899,2.07,537.495,538.498,538.837,536.767,2.8265,61.577,3.03,2.955,58.026,0.394,0
2025-11-15 01:20:00,46.797,11.007,343.707,538.834,1.082,538.508,539.517,538.878,538.435,2.8152,61.764,3.119,2.843,58.229,0.399,0
2025-11-15 01:30:00,46.613,11.025,344.108,537.695,3.152,535.938,539.09,538.331,537.421,2.8002,61.632,3.176,3.019,57.886,0.333,0
2025-11-15 01:40:00,46.677,11.064,344.038,538.065,0.448,537.868,538.084,538.316,537.991,2.8042,61.644,3.037,2.983,58.076,0.329,0
2025-11-15 01:50:00,46.756,11.095,344.04,538.281,4.734,538.35,537.211,536.414,541.148,2.7994,61.481,3.081,2.855,57.992,0.342,0
2025-11-15 02:00:00,47.099,11.084,343.967,538.924,2.174,538.641,537.892,539.096,540.066,2.8105,61.422,3.072,3.047,57.902,0.321,0
2025-11-15 02:10:00,46.845,11.092,344.016,538.82,4.345,537.983,541.552,538.54,537.207,2.8315,61.864,3.245,2.782,57.784,0.35,0
2025-11-15 02:20:00,46.713,11.014,344.339,538.211,2.349,536.814,538.788,539.163,538.08,2.8127,61.41,3.195,2.908,58.034,0.328,0
2025-11-15 02:30:00,47.104,11.017,343.927,539.019,1.108,539.393,539.573,538.644,538.465,2.8049,61.571,3.094,3.016,57.922,0.378,0
2025-11-15 02:40:00,46.955,11.064,344.14,539.176,4.399,541.393,536.994,539.544,538.772,2.8159,61.64,3.053,3.028,58.155,0.438,0
2025-11-15 02:50:00,46.951,11.062,344.362,537.468,4.523,538.282,538.972,534.449,538.17,2.8025,61.927,3.13,3.006,58.042,0.395,0
2025-11-15 03:00:00,46.832,11.027,343.941,538.707,3.37,539.605,540.488,537.118,537.618,2.8141,61.822,3.12,2.975,57.756,0.331,0
2025-11-15 03:10:00,46.768,11.059,344.429,537.906,3.709,539.792,538.811,536.937,536.083,2.8169,61.545,3.131,2.761,57.945,0.337,0
2025-11-15 03:20:00,46.963,11.057,344.168,538.168,1.968,538.495,539.365,537.417,537.397,2.8182,61.891,3.09,2.933,58.081,0.373,0
2025-11-15 03:30:00,47.168,11.067,344.473,539.86,2.824,538.655,539.139,541.479,540.165,2.8442,61.641,3.103,2.988,57.996,0.403,0
2025-11-15 03:40:00,46.792,11.068,343.803,538.51,4.9,540.263,536.788,540.945,536.045,2.8137,61.53,3.015,2.941,57.97,0.243,0
2025-11-15 03:50:00,46.913,11.112,343.833,538.15,2.424,538.329,537.3,537.274,539.698,2.8316,61.578,2.93,2.915,57.75,0.37,0
2025-11-15 04:00:00,46.936,11.072,343.916,538.241,2.456,539.289,538.135,538.706,536.833,2.8107,61.777,3.039,2.828,58.072,0.361,0
2025-11-15 04:10:00,47.137,11.075,344.497,539.277,2.26,539.153,538.257,539.181,540.517,2.8292,61.802,2.93,2.889,57.776,0.422,0
2025-11-15 04:20:00,46.999,11.061,344.414,538.854,2.482,538.461,537.487,539.969,539.501,2.8187,62.195,2.93,3.002,57.838,0.281,0
2025-11-15 04:30:00,47.207,11.089,344.828,539.459,1.435,539.442,540.398,539.033,538.963,2.8138,61.686,2.934,3.107,58.057,0.365,0
2025-11-15 04:40:00,46.888,11.046,343.995,537.781,0.79,538.192,537.402,537.592,537.936,2.8151,61.623,3.081,2.654,57.818,0.417,0
2025-11-15 04:50:00,46.993,11.076,344.224,539.845,1.811,539.485,540.562,540.573,538.762,2.8192,61.72,3.112,2.994,57.914,0.357,0
2025-11-15 05:00:00,47.29,11.057,343.845,539.13,1.68,540.034,538.354,538.971,539.163,2.8205,61.723,2.976,2.988,57.909,0.444,0
2025-11-15 05:10:00,46.944,11.059,343.966,539.161,1.119,538.688,539.07,539.807,539.079,2.8243,61.904,3.009,2.787,57.975,0.373,0
2025-11-15 05:20:00,47.221,11.066,344.478,539.369,1.158,540.01,538.895,538.852,539.718,2.8288,61.918,3.06,2.842,58.1,0.296,0
2025-11-15 05:30:00,47.428,11.053,344.77,539.838,3.833,538.425,541.832,537.999,541.094,2.8144,61.81,3.1,3.042,57.829,0.345,0
2025-11-15 05:40:00,47.375,11.075,344.392,539.91,2.265,540.305,540.653,540.295,538.388,2.8205,61.932,3.223,2.793,57.883,0.307,0
2025-11-15 05:50:00,47.107,11.066,344.692,539.228,3.415,538.652,540.942,537.527,539.792,2.8262,62.032,3.095,2.949,57.938,0.391,0
2025-11-15 06:00:00,47.443,11.07,344.719,539.846,2.057,540.203,538.384,540.354,540.441,2.8377,61.752,3.071,2.936,57.729,0.332,0
2025-11-15 06:10:00,47.494,11.037,344.696,539.396,1.318,538.854,539.799,538.807,540.125,2.8246,61.596,2.95,2.935,57.895,0.414,0
2025-11-15 06:20:00,47.401,11.107,344.553,537.835,1.676,538.876,537.763,537.501,537.2,2.8335,61.817,2.907,3.007,58.032,0.419,0
2025-11-15 06:30:00,47.503,11.065,344.543,540.603,3.692,540.915,540.199,538.803,542.495,2.825,61.89,2.992,2.796,58.014,0.346,0
2025-11-15 06:40:00,47.545,11.034,344.438,539.707,3.51,539.535,539.871,541.466,537.956,2.8229,62.227,3.137,2.979,58.09,0.433,0
2025-11-15 06:50:00,47.535,11.11,344.589,538.408,2.587,536.903,538.336,539.49,538.901,2.818,61.901,3.076,2.868,58.151,0.324,0
2025-11-15 07:00:00,47.503,11.105,344.401,539.584,1.246,540.036,538.901,540.147,539.251,2.8341,61.933,3.024,3.095,57.936,0.298,0
2025-11-15 07:10:00,47.74,11.106,344.545,539.806,2.019,539.199,540.961,538.942,540.124,2.8464,61.968,3.285,2.872,58.092,0.325,0
2025-11-15 07:20:00,47.576,11.054,344.331,539.59,2.428,539.128,541.202,539.255,538.774,2.8333,61.844,3.202,3.026,57.893,0.382,0
2025-11-15 07:30:00,47.962,11.099,344.655,539.134,3.91,539.167,541.089,537.179,539.103,2.8695,62.078,3.152,2.988,57.956,0.264,0
2025-11-15 07:40:00,48.015,11.086,344.798,540.666,2.117,541.107,540.648,541.512,539.395,2.8477,62.138,3.153,3.067,58.09,0.369,0
2025-11-15 07:50:00,47.924,11.056,345.301,541.469,2.883,543.419,540.536,540.656,541.264,2.857,62.035,3.153,2.938,57.949,0.327,0
2025-11-15 08:00:00,48.154,11.077,344.709,539.834,1.845,539.358,539.424,541.2,539.355,2.8686,62.127,3.196,3.195,57.876,0.421,0
2025-11-15 08:10:00,48.252,11.104,345.186,539.699,2.309,541.262,539.353,539.229,538.953,2.8662,62.117,3.044,2.952,58.026,0.368,0
2025-11-15 08:20:00,48.114,11.112,344.944,539.616,2.88,538.451,539.696,541.331,538.987,2.8653,62.249,3.121,3.045,58.01,0.361,0
2025-11-15 08:30:00,48.156,11.115,344.768,539.798,3.339,538.625,541.964,538.956,539.647,2.8545,62.021,2.991,2.889,57.88,0.31,0
2025-11-15 08:40:00,48.346,11.108,345.247,539.251,2.354,537.88,539.847,540.234,539.044,2.8544,62.254,3.041,2.927,57.881,0.366,0
2025-11-15 08:50:00,48.405,11.167,345.387,541.175,1.664,540.638,542.012,540.348,541.7,2.8617,62.159,3.065,3.009,58.063,0.402,0
2025-11-15 09:00:00,48.451,11.085,345.205,540.43,3.296,540.818,539.864,542.168,538.872,2.8582,61.889,2.929,2.833,58.055,0.286,0
2025-11-15 09:10:00,48.501,11.135,345.119,541.466,3.809,543.941,541.025,540.764,540.132,2.8602,61.946,3.032,2.78,58.159,0.334,0
2025-11-15 09:20:00,48.408,11.101,345.226,540.264,1.596,539.477,540.536,539.971,541.073,2.878,62.006,3.17,3.036,58.222,0.357,0
2025-11-15 09:30:00,48.3,11.158,345.144,540.487,2.503,540.623,539.021,541.524,540.781,2.8497,62.019,3.082,3.073,58.07,0.323,0
2025-11-15 09:40:00,48.466,11.124,345.306,539.864,2.623,539.476,538.332,540.955,540.693,2.8678,62.445,3.06,3.02,58.025,0.361,0
2025-11-15 09:50:00,48.549,11.118,345.213,541.459,4.346,539.095,543.441,542.031,541.269,2.8648,61.915,3.071,2.878,57.809,0.347,0
2025-11-15 10:00:00,48.364,11.126,345.352,540.61,3.342,539.032,542.374,541.147,539.886,2.857,62.066,2.99,3.024,57.993,0.39,0
2025-11-15 10:10:00,48.854,11.146,345.957,540.712,1.272,540.495,541.213,541.199,539.941,2.8782,62.243,3.051,2.985,57.898,0.328,0
2025-11-15 10:20:00,48.646,11.086,345.607,539.861,3.539,540.692,541.865,538.56,538.326,2.8421,62.126,3.15,2.858,58.119,0.228,0
